commit,date,commits,javascript,markdown,json,deps,devdeps
64a069b5fe3417ad3a46ae7d333b4b932cfcded9,2017-12-19,0,15010,4050,1522,31,22
41aa1d8d974ad744d6180150ce68abc6573efac2,2017-12-15,66,15266,4005,483,31,19
0f585339214bcbae918f732dcfda85b462877d43,2017-12-08,82,15936,3404,485,31,18
3926f891c231b14d31a60407ee1e0ee731669ce8,2017-12-01,146,16385,3502,546,32,18
b3e989dde6ec8a0fd3a7ee5138018471a1b57b16,2017-11-24,89,16190,2999,569,32,18
35e01dcd0d452042f5d29669e8edfdc3fb7da25c,2017-11-19,89,14622,2886,542,30,18
3cc2c7dde4a0a9c78ab00b2eaa325310be08f022,2017-11-10,104,14103,2710,482,24,18
d9388895563c1e1c848d1fc16cb91d5f58ee94c0,2017-11-03,133,13648,2227,434,22,19
f4dae23ff6573df5a8b111aaea2c5eba901c8db5,2017-10-27,154,14016,2211,309,23,20
55d0030474f814191c4e06fe89affea0beedc8dc,2017-10-20,102,13006,2028,334,23,20
8feff97e76faa1e237e64d238d1d61cb2b29763f,2017-10-13,30,12591,1998,333,23,20
4179a5854f76b942004af0c9394df38635263fb3,2017-10-06,93,11498,1873,381,22,20
0b2b30a839a8699b6643ca6a206ee31ab4fa50c7,2017-09-29,148,11099,1873,375,20,20
a0b76765a0294425bf6280d5e1264abfe9818dd8,2017-09-22,86,10676,1828,395,19,20
ccbdaf0b563a79e6fb0e413814e9ef8659667440,2017-09-15,66,10594,1838,347,19,20
7645096f6baf23e68f48848d16cbeaad8f5719d8,2017-09-05,26,10891,1845,347,19,20
794179fdde1377af89327d3a26682205b2ea433e,2017-09-05,8,10866,1846,347,19,20
3ee9ebf32ab4cce47a8df13a8fc2e53c061a2351,2017-09-05,94,10358,1803,121,20,20
d199cff5e9d78b245dd832a680fee8803de03740,2017-09-05,101,10400,1740,121,20,20
7d6f588e183180d885b25de06ba4e52cac88d9f0,2017-08-11,79,10286,1658,121,20,20
9b78c9f117d9c6fca36fc0f0d074103be6dc3e20,2017-08-04,107,10045,856,121,22,20
5f8658e3c077935782ed99f06138e53296a5b803,2017-07-28,116,9768,164,123,22,20
86811653e1197f5fd42a3251953281f0353cfb15,2017-07-21,92,9465,176,123,22,20
da241f67a76bf5baa16030f5603ae90bef889a96,2017-07-13,196,8992,172,118,22,16
da241f67a76bf5baa16030f5603ae90bef889a96,2017-07-07,0,8992,172,118,22,16
da241f67a76bf5baa16030f5603ae90bef889a96,2017-06-30,0,8992,172,118,22,16
f37900ec6dba62046b2310d7b9b8d55d722af5c9,2017-06-27,1,8992,172,118,22,16
f82ea20629ca30945fa9583853ccdaf8db45b82d,2017-06-17,12,8973,172,113,22,2
85f8689041eb1630a8b306f1d2b88593763456ba,2017-06-09,174,8575,171,160,25,2
84612007c7e04158ff79f4eb0091cb9fc4c80fd9,2017-06-02,112,7865,171,113,25,2
b50d9559fb80c2eafc3bd0a7d941e3f3b843c6e6,2017-05-26,114,7096,165,112,23,2
c44b8b7af840332ac180a5397b1eb1ea63cd2bb3,2017-05-19,125,6390,145,112,21,2
d37b70583d135c797904d85cb7c5e5202e32216e,2017-05-12,148,5118,145,112,21,2
eb34ae117a31fa13554f760924b7a92000f97e3b,2017-05-05,85,4043,144,112,20,2
eea7a2afa3ce53ef592488e617625f8d5253bff3,2017-04-28,40,3779,144,109,20,2
04da23519ce4909f43b35d5cba04cbe70cb923e9,2017-04-21,92,3054,146,78,19,2
c52bc7972ab8f03cc992734c274077465d479e1f,2017-04-12,104,2996,84,61,19,2
90e77759d9cf32d6222a3ba94ea09127df5ba114,2017-04-07,33,2772,84,61,17,3
b64f34827721c7ec26e952052b9cfd2bf19e1c1d,2017-04-01,71,2368,83,45,14,2
211a6f5dd1687673b00e8a83f048cb3204881c1d,2017-03-24,100,1723,66,80,12,2
026c60c0ff601814117f74c5bf45421ea29555dd,2017-03-17,70,1113,68,58,9,2
c0396ab759be7d15fdd95da63737064100b716f3,2017-03-11,23,636,61,52,6,1
